genome	order	outcome	verdict	call	best_hit_locations
GCA_001600575.1_JCM_8837_assembly_v001	Xylariales	withheld	best_hit_elsewhere	BCKI01000011.1:1298709-1376537	MAT1-1-3@BCKI01000002.1:396535(35%)=no_locus;MAT1-2-1@BCKI01000002.1:396532(54%)=no_locus
GCA_001602355.1_JCM_30695_assembly_v001	Dipodascales	withheld	best_hit_here	BCLX01000007.1:270934-318629	MAT1-1-3@BCLX01000005.1:2378433(31%)=withheld_by_bar;MAT1-2-1@BCLX01000005.1:2378448(49%)=withheld_by_bar;Rsm22-like@BCLX01000004.1:1344318(30%)=no_locus;mat1-Mc@BCLX01000005.1:2378436(41%)=withheld_by_bar;matMc@BCLX01000005.1:2378433(40%)=withheld_by_bar;matPi@BCLX01000001.1:4065044(54%)=withheld_by_bar
GCA_001939105.2_Sxyl_2.0	Dipodascales	low	best_hit_elsewhere	MQSX02000010.1:173788-180995	MAT1-1-3@MQSX02000004.1:135486(35%)=withheld_by_bar;MAT1-2-1@MQSX02000004.1:135450(44%)=withheld_by_bar;MATALPHA2@MQSX02000002.1:397279(42%)=withheld_by_bar;Rsm22-like@MQSX02000007.1:546571(32%)=withheld_by_bar;mat1-Mc@MQSX02000004.1:135504(38%)=withheld_by_bar;mat1-Pi@MQSX02000002.1:397231(40%)=withheld_by_bar;matMc@MQSX02000044.1:3352(39%)=withheld_by_bar;matPi@MQSX02000002.1:397276(59%)=withheld_by_bar
GCA_001939105.2_Sxyl_2.0	Dipodascales	low	best_hit_elsewhere	MQSX02000010.1:173788-180995	MAT1-1-3@MQSX02000004.1:135486(35%)=withheld_by_bar;MAT1-2-1@MQSX02000004.1:135450(44%)=withheld_by_bar;MATALPHA2@MQSX02000002.1:397279(42%)=withheld_by_bar;Rsm22-like@MQSX02000007.1:546571(32%)=withheld_by_bar;mat1-Mc@MQSX02000004.1:135504(38%)=withheld_by_bar;mat1-Pi@MQSX02000002.1:397231(40%)=withheld_by_bar;matMc@MQSX02000044.1:3352(39%)=withheld_by_bar;matPi@MQSX02000002.1:397276(59%)=withheld_by_bar
GCA_003705735.3_ASM370573v3	Dipodascales	low	best_hit_elsewhere	PPJJ03000115.1:9423-32941	MAT1-1-3@PPJJ03000107.1:24229(32%)=withheld_by_bar;MAT1-2-1@PPJJ03000107.1:24211(49%)=withheld_by_bar;MATALPHA2@PPJJ03000124.1:1757(37%)=withheld_by_bar;Rsm22-like@PPJJ03000025.1:58727(30%)=withheld_by_bar;mat1-Mc@PPJJ03000107.1:24220(38%)=withheld_by_bar;mat1-Pi@PPJJ03000124.1:1760(60%)=withheld_by_bar;matMc@PPJJ03000074.1:48048(38%)=withheld_by_bar;matPi@PPJJ03000124.1:1757(48%)=withheld_by_bar
GCA_003705735.3_ASM370573v3	Dipodascales	withheld	best_hit_elsewhere	PPJJ03000115.1:9423-32941	MAT1-1-3@PPJJ03000107.1:24229(32%)=withheld_by_bar;MAT1-2-1@PPJJ03000107.1:24211(49%)=withheld_by_bar;MATALPHA2@PPJJ03000124.1:1757(37%)=withheld_by_bar;Rsm22-like@PPJJ03000025.1:58727(30%)=withheld_by_bar;mat1-Mc@PPJJ03000107.1:24220(38%)=withheld_by_bar;mat1-Pi@PPJJ03000124.1:1760(60%)=withheld_by_bar;matMc@PPJJ03000074.1:48048(38%)=withheld_by_bar;matPi@PPJJ03000124.1:1757(48%)=withheld_by_bar
GCA_003707065.3_ASM370706v3	Trigonopsidales	withheld	best_hit_here	PPXM03000002.1:1171733-1206054	MAT1-2-1@PPXM03000001.1:227957(32%)=withheld_by_bar;MATA2@PPXM03000002.1:922304(40%)=withheld_by_bar;MATALPHA2@PPXM03000002.1:922304(33%)=withheld_by_bar;MTLalpha2@PPXM03000002.1:922283(35%)=withheld_by_bar;Rsm22-like@PPXM03000005.1:205836(30%)=withheld_by_bar;mat1-Mc@PPXM03000001.1:228095(30%)=withheld_by_bar;matPi@PPXM03000002.1:922304(30%)=withheld_by_bar
GCA_003707065.3_ASM370706v3	Trigonopsidales	low	best_hit_here	PPXM03000002.1:1171733-1206054	MAT1-2-1@PPXM03000001.1:227957(32%)=withheld_by_bar;MATA2@PPXM03000002.1:922304(40%)=withheld_by_bar;MATALPHA2@PPXM03000002.1:922304(33%)=withheld_by_bar;MTLalpha2@PPXM03000002.1:922283(35%)=withheld_by_bar;Rsm22-like@PPXM03000005.1:205836(30%)=withheld_by_bar;mat1-Mc@PPXM03000001.1:228095(30%)=withheld_by_bar;matPi@PPXM03000002.1:922304(30%)=withheld_by_bar
GCA_003707485.3_ASM370748v3	Dipodascales	withheld	best_hit_here	PPJI03000071.1:2066-18026	MAT1-1-3@PPJI03000069.1:3352(32%)=withheld_by_bar;MAT1-2-1@PPJI03000069.1:3244(44%)=withheld_by_bar;MATALPHA2@PPJI03000016.1:222510(38%)=withheld_by_bar;Rsm22-like@PPJI03000026.1:67130(31%)=no_locus;mat1-Mc@PPJI03000069.1:3337(38%)=withheld_by_bar;mat1-Pi@PPJI03000016.1:222570(52%)=withheld_by_bar;matMc@PPJI03000025.1:157337(38%)=withheld_by_bar;matPi@PPJI03000016.1:222549(49%)=withheld_by_bar
GCA_003707485.3_ASM370748v3	Dipodascales	low	best_hit_elsewhere	PPJI03000006.1:258089-274844	MAT1-1-3@PPJI03000069.1:3352(32%)=withheld_by_bar;MAT1-2-1@PPJI03000069.1:3244(44%)=withheld_by_bar;MATALPHA2@PPJI03000016.1:222510(38%)=withheld_by_bar;MTLalpha1@PPJI03000071.1:14577(32%)=called_flankcarried|withheld_by_bar;Rsm22-like@PPJI03000026.1:67130(31%)=no_locus;mat1-Mc@PPJI03000069.1:3337(38%)=withheld_by_bar;mat1-Pi@PPJI03000016.1:222570(52%)=withheld_by_bar;matMc@PPJI03000025.1:157337(38%)=withheld_by_bar;matPi@PPJI03000016.1:222549(49%)=withheld_by_bar
