asmid	accession	level	method	tech	bioproject	contigs
GCA_001049995.1_VPCI_479_P_13	GCA_001049995.1	Scaffold	Velvet	Illumina MiSeq	PRJEB9463	825
GCA_046254435.1_ASM4625443v1	GCA_046254435.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	154
GCA_046254405.1_ASM4625440v1	GCA_046254405.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	162
GCA_046254375.1_ASM4625437v1	GCA_046254375.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	214
GCA_046254355.1_ASM4625435v1	GCA_046254355.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	192
GCA_059630025.1_MRSN101498	GCA_059630025.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	41
GCA_046254265.1_ASM4625426v1	GCA_046254265.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	212
GCA_046254305.1_ASM4625430v1	GCA_046254305.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	222
GCA_046254295.1_ASM4625429v1	GCA_046254295.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	194
GCA_046254225.1_ASM4625422v1	GCA_046254225.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	217
GCA_046254205.1_ASM4625420v1	GCA_046254205.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	218
GCA_046254165.1_ASM4625416v1	GCA_046254165.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	179
GCA_046254135.1_ASM4625413v1	GCA_046254135.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	205
GCA_046254115.1_ASM4625411v1	GCA_046254115.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	209
GCA_046254055.1_ASM4625405v1	GCA_046254055.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	212
GCA_046254025.1_ASM4625402v1	GCA_046254025.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	168
GCA_046254075.1_ASM4625407v1	GCA_046254075.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	246
GCA_046253995.1_ASM4625399v1	GCA_046253995.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	233
GCA_046253955.1_ASM4625395v1	GCA_046253955.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	219
GCA_046253895.1_ASM4625389v1	GCA_046253895.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	226
GCA_046253925.1_ASM4625392v1	GCA_046253925.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	232
GCA_046253845.1_ASM4625384v1	GCA_046253845.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	208
GCA_046253875.1_ASM4625387v1	GCA_046253875.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	209
GCA_046253815.1_ASM4625381v1	GCA_046253815.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	208
GCA_046253775.1_ASM4625377v1	GCA_046253775.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	203
GCA_046253715.1_ASM4625371v1	GCA_046253715.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	216
GCA_027886145.1_ASM2788614v1	GCA_027886145.1	Scaffold	BWA-MEM v. 0.7.17	Illumina MiSeq	PRJNA865124	88
GCA_046253755.1_ASM4625375v1	GCA_046253755.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	174
GCA_046253665.1_ASM4625366v1	GCA_046253665.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	217
GCA_059630005.1_MRSN120660	GCA_059630005.1	Contig	Shovill v. 1.0.9	Illumina NextSeq	PRJNA1473289	53
GCA_046253685.1_ASM4625368v1	GCA_046253685.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	220
GCA_046253635.1_ASM4625363v1	GCA_046253635.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	213
GCA_046253535.1_ASM4625353v1	GCA_046253535.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	212
GCA_046253555.1_ASM4625355v1	GCA_046253555.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	186
GCA_046253575.1_ASM4625357v1	GCA_046253575.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	209
GCA_046253505.1_ASM4625350v1	GCA_046253505.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	203
GCA_046253485.1_ASM4625348v1	GCA_046253485.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	262
GCA_046253445.1_ASM4625344v1	GCA_046253445.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	206
GCA_059629965.1_MRSN128594	GCA_059629965.1	Contig	Shovill v. 1.0.9	Illumina NextSeq	PRJNA1473289	66
GCA_046253425.1_ASM4625342v1	GCA_046253425.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	209
GCA_046253375.1_ASM4625337v1	GCA_046253375.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	155
GCA_046253335.1_ASM4625333v1	GCA_046253335.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	217
GCA_046253355.1_ASM4625335v1	GCA_046253355.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	213
GCA_059629975.1_MRSN131378	GCA_059629975.1	Contig	Shovill v. 1.0.9	Illumina NextSeq	PRJNA1473289	64
GCA_046253305.1_ASM4625330v1	GCA_046253305.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	345
GCA_059629945.1_MRSN132716	GCA_059629945.1	Contig	Shovill v. 1.0.9	Illumina NextSeq	PRJNA1473289	71
GCA_046253275.1_ASM4625327v1	GCA_046253275.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	210
GCA_046253235.1_ASM4625323v1	GCA_046253235.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	196
GCA_059629915.1_MRSN134489	GCA_059629915.1	Contig	Shovill v. 1.0.9	Illumina MiSeq	PRJNA1473289	62
GCA_046253205.1_ASM4625320v1	GCA_046253205.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	244
GCA_046253185.1_ASM4625318v1	GCA_046253185.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	217
GCA_046253105.1_ASM4625310v1	GCA_046253105.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	194
