record	gene	role	gene_class	strand	exons	codon_start	transl_table	prot_len	cds_nt	mod3	internal_stops	excess_codons	roundtrip
Ascomycota/Diaporthales/578113_sxlc146_MAT_MAT1-2	SLA2	flanking_conserved	sla2_homolog	+	4	1	1	1045	3138	0	0	1.0	PASS
Ascomycota/Diaporthales/578113_sxlc146_MAT_MAT1-2	MAT1-2-1	core_MAT	HMG_box	+	3	1	1	297	894	0	0	1.0	PASS
Ascomycota/Diaporthales/578113_sxlc146_MAT_MAT1-2	APN2	flanking_conserved	apn2_homolog	-	3	1	1	619	1860	0	0	1.0	PASS
Ascomycota/Diaporthales/578113_sxlc146_MAT_MAT1-2	COX13	flanking_conserved		+	4	1	1	130	393	0	0	1.0	PASS
Ascomycota/Diaporthales/578113_sxlc146_MAT_MAT1-2	MAT1-1-2	core_MAT		-	4	1	1	391	1176	0	0	1.0	PASS
Ascomycota/Eurotiales/162425_fgsc-a4_MAT_combined	SLA2	flanking_conserved	sla2_homolog	+	0	1	1	967	3523	1	35	207.3	FAIL
Ascomycota/Eurotiales/162425_fgsc-a4_MAT_combined	MAT1-1-1	core_MAT	alpha_box	-	0	1	1	361	1142	2	11	19.7	FAIL
Ascomycota/Eurotiales/162425_fgsc-a4_MAT_combined	COX13	flanking_conserved		-	0	1	1	134	704	2	2	100.7	FAIL
Ascomycota/Eurotiales/162425_fgsc-a4_MAT_combined	APN2	flanking_conserved	apn2_homolog	+	0	1	1	612	2104	1	42	89.3	FAIL
Ascomycota/Eurotiales/162425_fgsc-a4_MAT_combined	MAT1-2-1	core_MAT	HMG_box	-	0	1	1	318	1056	0	10	34.0	FAIL
Ascomycota/Eurotiales/746128_a1163_MAT_MAT1-1	COX13	flanking_conserved		-	0	1	1	136	741	0	11	111.0	FAIL
Ascomycota/Eurotiales/746128_a1163_MAT_MAT1-1	APN2	flanking_conserved	apn2_homolog	+	0	1	1	648	2189	2	21	81.7	FAIL
Ascomycota/Eurotiales/746128_a1163_MAT_MAT1-1	MAT1-2-1	core_MAT	HMG_box	-	0	1	1	250	1038	0	9	96.0	FAIL
Ascomycota/Eurotiales/746128_a1163_MAT_MAT1-1	MAT1-1-1	core_MAT	alpha_box	+	0	1	1	368	1158	0	2	18.0	FAIL
Ascomycota/Eurotiales/746128_a1163_MAT_MAT1-1	SLA2	flanking_conserved	sla2_homolog	-	0	1	1	1172	4271	2	25	251.7	FAIL
Ascomycota/Eurotiales/746128_af293_MAT_MAT1-2	SLA2	flanking_conserved	sla2_homolog	+	0	1	1	1043	3901	1	40	257.3	FAIL
Ascomycota/Eurotiales/746128_af293_MAT_MAT1-2	MAT1-2-4	core_MAT		-	0	1	1	250	902	2	4	50.7	FAIL
Ascomycota/Eurotiales/746128_af293_MAT_MAT1-2	MAT1-2-1	core_MAT	HMG_box	+	0	1	1	322	1078	1	19	37.3	FAIL
