panel	genome	order	mat_family	call	ruleA	best_core_gene	best_core_evalue	best_core_dist_bp	B_3kb_noE	B_20kb_noE	B_20kb_E1e-5	B_3kb_E1e-5
cap6	GCA_001600575.1_JCM_8837_assembly_v001	Xylariales	Ascomycota:MAT	BCKI01000011.1:1298709-1376537	withheld	MAT1-1-2	0.000122	0	low	low	withheld	withheld
cap6	GCA_001602355.1_JCM_30695_assembly_v001	Dipodascales	Ascomycota:MAT	BCLX01000007.1:270934-318629	withheld	MAT1-1-1	0.33	22533	withheld	withheld	withheld	withheld
cap6	GCA_001939105.2_Sxyl_2.0	Dipodascales	Ascomycota:MAT	MQSX02000010.1:173788-180995	low	MAT1-2-1	0.11	0	low	low	withheld	withheld
cap6	GCA_001939105.2_Sxyl_2.0	Dipodascales	Ascomycota:MATyl	MQSX02000010.1:173788-180995	low	mata1	8.29e-05	0	low	low	withheld	withheld
cap6	GCA_003705735.3_ASM370573v3	Dipodascales	Ascomycota:MAT	PPJJ03000115.1:9423-32941	low	MAT1-1-3	5.5	0	low	low	withheld	withheld
cap6	GCA_003705735.3_ASM370573v3	Dipodascales	Ascomycota:MATtub	PPJJ03000115.1:9423-32941	withheld	MAT1-2-1	4.9	16607	withheld	low	withheld	withheld
cap6	GCA_003707065.3_ASM370706v3	Trigonopsidales	Ascomycota:MAT	PPXM03000002.1:1171733-1206054	withheld	MAT1-1-3	3.59e-10	2765	low	low	low	low
cap6	GCA_003707065.3_ASM370706v3	Trigonopsidales	Ascomycota:MATtub	PPXM03000002.1:1171733-1206054	low	MAT1-2-1	1.18e-08	2627	low	low	low	low
cap6	GCA_003707485.3_ASM370748v3	Dipodascales	Ascomycota:MAT	PPJI03000071.1:2066-18026	withheld	MAT1-1-1	0.006	0	low	low	withheld	withheld
cap6	GCA_003707485.3_ASM370748v3	Dipodascales	Ascomycota:MAT	PPJI03000006.1:258089-274844	low	MAT1-2-1	0.036	0	low	low	withheld	withheld
cap6	GCA_003708045.1_ASM370804v1	Dipodascales	Ascomycota:MAT	PPMY01000040.1:2767-10786	low	MAT1-1-1	2.8	0	low	low	withheld	withheld
cap6	GCA_004919795.1_ASM491979v1	Saccharomycodales	Ascomycota:MTL	SRHF01000012.1:60204-103430	low	MTLA1	1.6	0	low	low	withheld	withheld
cap6	GCA_010015825.1_Lopnu1	Pleosporales	Ascomycota:MAT	ML977371.1:108801-128984	withheld	MAT1-1-4	2.2	16986	withheld	low	withheld	withheld
cap6	GCA_011067015.1_ASM1106701v1	Orbiliales	Ascomycota:MAT	JAABLO010000001.1:878630-893700	withheld	MAT1-1-2	8.3	12622	withheld	low	withheld	withheld
cap6	GCA_011068445.1_ASM1106844v1	Orbiliales	Ascomycota:MAT	JAAGKP010000022.1:29726-50164	withheld	MAT1-2-1	4.5	16692	withheld	low	withheld	withheld
cap6	GCA_012184295.1_ASM1218429v1	Orbiliales	Ascomycota:MAT	LDUD01000016.1:314157-343862	withheld	MAT1-2-1	1.4	9241	withheld	low	withheld	withheld
cap6	GCA_012184355.1_ASM1218435v1	Orbiliales	Ascomycota:MAT	LDUC01000161.1:295392-311206	withheld	MAT1-1-1	0.002	5007	withheld	low	withheld	withheld
cap6	GCA_016162255.1_ASM1616225v1	Dipodascales	Ascomycota:MAT	JACADK010000001.1:2159529-2205085	withheld	MAT1-1-1	0.002	0	low	low	withheld	withheld
cap6	GCA_017635955.1_ASM1763595v1	Dipodascales	Ascomycota:MAT	JAAQQV010000003.1:2172378-2180704	low	MAT1-2-1	0.32	0	low	low	withheld	withheld
cap6	GCA_018804115.1_ASM1880411v1	Lipomycetales	Ascomycota:MAT	JAGJTG010000006.1:412571-441228	low	MAT1-1-3	1.09e-11	0	low	low	low	low
cap6	GCA_018804115.1_ASM1880411v1	Lipomycetales	Ascomycota:MATyl	JAGJTG010000006.1:412571-441228	low	mata1	1.2	0	low	low	withheld	withheld
cap6	GCA_020064725.1_ASM2006472v1	Orbiliales	Ascomycota:MAT	JAGTWJ010000007.1:1520388-1535314	withheld	MAT1-2-1	0.02	11991	withheld	low	withheld	withheld
cap6	GCA_022577695.1_ASM2257769v1	Dipodascales	Ascomycota:MAT	JAKIRT010000005.1:305568-481875	withheld	MAT1-1-1	3.2	57599	withheld	withheld	withheld	withheld
cap6	GCA_022813965.1_ASM2281396v1	Rhizocarpales	Ascomycota:MAT	JALDZS010000198.1:2-14009	withheld	MAT1-1-3	9.5	12314	withheld	low	withheld	withheld
cap6	GCA_023628915.1_ASM2362891v1	Dipodascales	Ascomycota:MAT	JAMAJT010000002.1:199621-243754	low	MAT1-2-1	2.3	414	low	low	withheld	withheld
cap6	GCA_028984885.1_ASM2898488v1	Orbiliales	Ascomycota:MAT	JAQGDS010000001.1:1320279-1335205	withheld	MAT1-2-1	0.006	11991	withheld	low	withheld	withheld
cap6	GCA_030407195.1_ASM3040719v1	Dipodascales	Ascomycota:MATyl	JANJPH010000098.1:7586-32670	low	mata1	3.5e-06	0	low	low	low	low
cap6	GCA_030407195.1_ASM3040719v1	Dipodascales	Ascomycota:MAT	JANJPH010000098.1:7586-32670	low	MAT1-1-3	8.17e-07	0	low	low	low	low
cap6	GCA_030407195.1_ASM3040719v1	Dipodascales	Ascomycota:MATtub	JANJPH010000098.1:7586-32670	low	MAT1-2-1	7.17e-07	0	low	low	low	low
cap6	GCA_030407195.1_ASM3040719v1	Dipodascales	Ascomycota:MTL	JANJPH010000085.1:18359-33969	low	MTLA2	7.2	0	low	low	withheld	withheld
cap6	GCA_030412595.1_ASM3041259v1	Amphisphaeriales	Ascomycota:MAT	JAQJCZ010000002.1:1784030-1805718	withheld	MAT1-2-1	1.0	18150	withheld	low	withheld	withheld
cap6	GCA_030555625.1_ASM3055562v1	Dipodascales	Ascomycota:MAT	JANIWH010000001.1:578960-633908	low	MAT1-1-1	0.003	0	low	low	withheld	withheld
cap6	GCA_030555625.1_ASM3055562v1	Dipodascales	Ascomycota:MATtub	JANIWH010000001.1:578960-633908	low	MAT1-1-1	0.003	0	low	low	withheld	withheld
cap6	GCA_030556875.1_ASM3055687v1	Dipodascales	Ascomycota:MATyl	JAKTUV010000016.1:146587-180263	low	mata1	5.3	0	low	low	withheld	withheld
cap6	GCA_030556875.1_ASM3055687v1	Dipodascales	Ascomycota:MAT	JAKTUV010000016.1:146587-180263	withheld	MAT1-1-3	2.5	15798	withheld	low	withheld	withheld
cap6	GCA_030556875.1_ASM3055687v1	Dipodascales	Ascomycota:MATtub	JAKTUV010000016.1:146587-180263	low	MAT1-2-1	3.7	0	low	low	withheld	withheld
cap6	GCA_030558825.1_ASM3055882v1	Dipodascales	Ascomycota:MAT	JAKTQM010000007.1:4498-10793	low	MAT1-2-1	1.7	0	low	low	withheld	withheld
