assembly	run	depth_source	assembly_call	control_depth	a_ratio	alpha_ratio	read_zygosity
GCA_000447455.1	SRR845178	round2	alpha	16.16	0.54	0.59	a/alpha
GCA_000447475.1	SRR845269	round2	alpha	18.14	0.43	0.44	a/alpha
GCA_000447495.1	SRR845182	round2	alpha	18.1	0.48	0.54	a/alpha
GCA_000447515.1	SRR845262	round2	alpha	15.93	0.53	0.57	a/alpha
GCA_000447535.1	SRR845222	round2	alpha	18.1	0.44	0.45	a/alpha
GCA_000447555.1	SRR845283	round2	alpha	16.44	0.52	0.54	a/alpha
GCA_000691765.2	SRR848045	round2	A+alpha	15.06	0.46	0.52	a/alpha
GCA_000773745.1	SRR393526	round2	A	17.64	0.92	0.0	a/a
GCA_000773755.1	SRR393524	round2	A	14.46	1.0	0.0	a/a
GCA_000773825.1	SRR393516	round2	A	16.46	0.55	0.58	a/alpha
GCA_000773845.1	SRR392813	round2	A	15.68	0.9	0.0	a/a
GCA_000774085.1	SRR393517	round2	A	16.41	1.02	0.0	a/a
GCA_000775465.1	SRR393525	round2	A+alpha	16.75	0.52	0.55	a/alpha
GCA_000784525.1	SRR530262	round2	A	13.03	1.01	0.0	a/a
GCA_029931695.1	SRR22908975	round1	A+alpha	18.2	0.56	0.54	a/alpha
GCA_029931725.1	SRR22908973	round1	alpha	18.37	0.51	0.47	a/alpha
